"","company","V1_s","V2_s","V3_s","V4_s2","V5_s"
"1","SK증권",-0.532713488211719,0.382874017927942,-0.918238137676717,0.217494914914182,0.0506707082663918
"2","교보증권",0.0484284989283378,0.131191192551365,-0.311655042023996,1.63138664079796,0.0506707082663918
"3","대신증권",-0.717622302301737,-0.545069616503959,-0.357975932964749,1.56196444519854,-0.529739222785006
"4","대우증권",2.39941199235857,3.02882650384343,-0.641967109565796,1.02553291767154,1.51551481996754
"5","동부증권",-1.26354356294846,-0.812072266033892,-0.52230480796885,1.27798362090365,1.48787625182223
"6","메리츠증권",0.435856490355043,0.282200887777312,-0.157803511399352,1.83643729507096,0.796912048189617
"7","미래에셋증권",1.07863474885844,1.35896567112754,-0.590683266024248,1.13955869916463,-0.19807640504135
"8","부국증권",0.726427483925071,-0.842711914340606,1.96468588420731,3.01612523922458,-0.19807640504135
"9","브릿지증권",0.928946661261758,-0.6369885614241,1.61397056708446,2.91852867824091,-1.55236624416128
"10","삼성증권",-0.268558039511693,0.290955073007801,-0.590131826846382,1.14088701912072,-0.667932063511529
"11","서울증권",-0.884920753145087,-1.06156654510285,0.409075963447009,2.36063429668669,-0.806124904238053
"12","신영증권",-0.946557024508426,-0.0942290771337425,-0.917135259320985,0.220850670592704,0.520526366736571
"13","신흥증권",0.189311404901685,-0.304329522665494,0.29272229691726,2.27471296900121,0.852189184480227
"14","우리투자증권",-0.902531116391756,0.203413220702905,-0.973382055463328,0,1.01802059335205
"15","유화증권",-0.664791212561732,-1.24759298125075,1.57702414216743,2.90706317967263,-2.10513760706737
"16","한양증권",1.29876428944179,-0.405002652816124,1.56654679778797,2.90370742399411,-0.225714973186655
"17","한화증권",0.224532131395022,0.660819398995988,-0.586823191779185,1.14759853047776,-0.861402040528662
"18","현대증권",-1.14907620184511,-0.389682828662768,-0.855925510577847,0.43575885717136,0.852189184480227
